,date_MES,date_fin,event,zone_corro
7790,2002-07-13,2018-12-31,0,0
16952,2000-03-13,2018-12-31,0,0
13998,2004-10-18,2014-10-13,1,1
6840,2005-04-16,2018-12-31,0,0
9399,2003-08-08,2018-12-31,0,1
6467,2008-12-04,2018-12-31,0,1
4206,2007-08-21,2018-12-31,0,0
4534,2002-07-04,2014-10-06,1,0
3263,2004-06-08,2018-12-31,0,0
6041,2003-06-23,2018-12-31,0,0
9364,1996-06-14,2018-12-31,0,1
9932,1999-04-03,2018-12-31,0,0
15875,2005-06-13,2018-12-31,0,1
8432,2003-06-26,2018-12-31,0,0
19162,1998-11-14,2018-12-31,0,0
11124,1986-06-20,2018-12-31,0,0
17723,2003-07-21,2018-12-31,0,0
19716,2009-06-23,2018-12-31,0,1
6781,2009-03-15,2018-12-31,0,0
12070,2006-06-25,2018-12-31,0,0
3877,2002-10-06,2018-12-31,0,0
1621,1998-02-12,2018-12-31,0,1
1441,2000-02-13,2018-12-31,0,1
15625,2001-07-23,2018-12-31,0,0
18054,2002-02-02,2018-12-31,0,1
3571,2005-06-20,2018-12-31,0,0
393,1989-12-09,2010-08-22,1,1
10289,1998-12-01,2018-12-31,0,0
6983,2001-03-26,2018-12-31,0,0
14971,1983-10-13,2018-12-31,0,0
7943,2005-02-07,2018-12-31,0,1
4806,2001-03-31,2018-12-31,0,0
15668,2003-11-06,2018-12-31,0,0
729,2005-03-06,2018-12-31,0,0
17982,2008-07-30,2018-12-31,0,1
1399,1987-09-06,2018-12-31,0,1
2977,2000-06-09,2018-12-31,0,0
12697,1997-06-01,2018-12-31,0,0
16123,2000-03-01,2018-12-31,0,1
16516,2007-10-20,2018-12-31,0,1
17755,1994-08-15,2018-12-31,0,0
10064,2005-04-05,2014-03-23,1,1
1369,2001-06-11,2011-11-20,1,0
16354,2006-04-07,2018-12-31,0,0
18661,1997-12-04,2018-12-31,0,0
12001,2000-03-14,2018-12-31,0,0
7339,1999-11-30,2018-12-31,0,0
5375,1996-03-19,2018-12-31,0,0
14753,1995-12-30,2018-12-31,0,0
4060,2008-11-26,2018-12-31,0,1
11089,1993-06-22,2016-12-15,1,1
15314,2008-02-06,2018-12-31,0,0
9313,2005-05-20,2018-12-31,0,0
10542,1999-10-12,2015-10-20,1,1
14210,2004-10-31,2018-12-31,0,0
6312,2005-03-21,2018-12-31,0,1
6794,2006-03-20,2018-12-31,0,0
13952,2001-12-17,2018-12-31,0,0
9668,2002-01-22,2018-12-31,0,0
15135,1996-10-11,2018-12-31,0,0
9380,1999-06-27,2017-11-14,1,0
1035,2004-06-09,2018-12-31,0,1
4712,2000-04-22,2018-12-31,0,0
9555,2004-01-28,2018-12-31,0,0
4882,2001-01-17,2018-12-31,0,1
6482,2000-05-19,2014-03-27,1,1
16063,2006-08-09,2018-12-31,0,1
9605,2004-11-13,2018-12-31,0,0
3573,2003-01-26,2018-12-31,0,0
4665,1994-03-06,2012-09-11,1,1
11623,1998-09-26,2017-02-21,1,0
8902,2004-09-19,2012-02-01,1,1
12550,2000-03-05,2018-12-31,0,1
4035,2004-05-04,2018-12-31,0,0
8408,2001-07-26,2018-12-31,0,0
2115,2008-04-02,2018-12-31,0,0
15156,2005-11-15,2018-12-31,0,1
4979,1993-07-14,2018-12-31,0,0
19538,1999-10-01,2018-12-31,0,0
19821,2005-08-05,2018-12-31,0,0
10479,2007-06-06,2018-12-31,0,0
18970,2007-10-12,2018-12-31,0,0
668,1997-01-23,2018-12-31,0,1
7574,1992-08-21,2010-09-19,1,0
18075,2002-06-01,2018-12-31,0,0
7744,1999-06-07,2018-12-31,0,1
9656,2003-04-26,2018-12-31,0,0
5125,2007-05-29,2018-12-31,0,1
5136,1999-11-25,2018-12-31,0,0
14574,1997-10-20,2018-03-10,1,1
1398,1997-12-31,2018-12-31,0,0
18897,1994-03-08,2018-12-31,0,0
15211,2005-01-27,2018-12-31,0,1
10402,1999-04-06,2018-12-31,0,0
3360,2003-11-19,2018-12-31,0,1
5603,1990-03-12,2012-10-30,1,1
14085,2003-02-14,2018-12-31,0,1
7714,2000-12-14,2018-12-31,0,1
11316,2005-04-13,2018-12-31,0,0
15402,1985-07-12,2015-08-09,1,0
11168,2003-08-14,2018-12-31,0,0
7986,1998-12-25,2018-12-31,0,1
9055,2009-11-10,2018-12-31,0,0
8712,2001-11-03,2013-08-18,1,0
7743,2001-09-02,2018-12-31,0,1
3727,2005-10-28,2018-12-31,0,0
16794,2004-08-22,2018-12-31,0,0
19298,2003-10-16,2018-12-31,0,0
18232,2005-01-05,2018-12-31,0,1
3788,1996-12-10,2018-12-31,0,0
10734,2001-04-28,2018-12-31,0,1
13459,2006-05-24,2018-12-31,0,0
9237,2008-10-21,2017-09-27,1,0
18583,1999-03-15,2011-06-23,1,1
1528,1998-12-11,2018-12-31,0,0
4575,2005-07-03,2018-12-31,0,0
13378,2006-02-02,2018-12-31,0,1
13682,1996-02-24,2018-12-31,0,0
8517,2006-04-18,2018-12-31,0,0
3155,1995-10-24,2016-04-30,1,0
7611,2002-11-24,2018-12-31,0,0
11608,2007-03-22,2018-12-31,0,0
18120,2001-12-16,2018-12-31,0,0
15428,2002-12-09,2018-12-31,0,0
8898,2009-05-10,2018-12-31,0,1
7666,2003-03-11,2018-12-31,0,0
17028,2004-08-19,2018-12-31,0,0
15891,2006-02-02,2018-12-31,0,0
7196,2004-03-15,2018-12-31,0,0
7230,1996-01-05,2018-12-31,0,1
19686,2008-07-01,2018-12-31,0,0
4099,1994-02-28,2018-12-31,0,0
10258,2008-07-07,2018-12-31,0,0
10223,2002-11-03,2018-12-31,0,0
4068,1990-03-07,2010-04-30,1,0
2737,2002-06-24,2018-12-31,0,0
4343,1995-01-16,2018-12-31,0,0
6100,1997-01-12,2018-12-31,0,0
11374,2008-05-05,2018-12-31,0,1
8596,1993-04-19,2018-12-31,0,0
15704,2004-10-06,2018-12-31,0,0
15780,2002-07-02,2018-12-31,0,1
6202,2004-08-22,2018-12-31,0,0
9123,1995-03-14,2013-02-10,1,0
6251,1995-07-15,2018-12-31,0,0
12245,2005-10-16,2018-12-31,0,0
2724,1994-02-06,2014-01-06,1,1
5872,2000-01-31,2010-02-09,1,0
7669,2005-11-27,2018-12-31,0,0
3324,1992-12-13,2018-12-31,0,0
2928,2000-01-11,2018-12-31,0,1
11663,2004-08-23,2018-12-31,0,0
18865,1987-04-29,2010-11-17,1,1
9307,2006-02-24,2017-02-27,1,1
19517,2004-01-31,2018-12-31,0,0
4637,1999-03-02,2018-12-31,0,0
6568,2008-04-28,2018-12-31,0,0
18778,1991-12-27,2018-12-31,0,0
9383,1996-05-12,2018-12-31,0,0
10231,2007-12-25,2018-12-31,0,1
5878,2006-07-10,2018-12-31,0,0
2440,2007-01-31,2018-12-31,0,1
281,2005-06-19,2018-12-31,0,0
17870,2002-12-26,2014-02-16,1,1
7359,2007-04-26,2015-04-18,1,1
13889,2000-06-06,2018-01-23,1,0
9357,1991-07-22,2018-12-31,0,0
18548,2005-12-25,2018-12-31,0,1
6335,2006-04-24,2018-12-31,0,0
15666,2002-08-04,2018-12-31,0,0
18586,1996-12-13,2018-12-31,0,0
4582,1987-01-31,2017-11-29,1,0
18468,1999-02-23,2018-12-31,0,0
15718,1999-03-11,2011-06-13,1,1
6675,2002-07-20,2018-12-31,0,0
11141,2002-09-13,2018-12-31,0,1
13409,2004-11-11,2016-11-02,1,0
16218,2008-08-31,2018-12-31,0,0
2296,2003-10-05,2018-12-31,0,0
17491,2003-03-20,2018-12-31,0,0
11177,2002-06-05,2018-12-31,0,0
1631,2006-02-09,2018-12-31,0,0
5860,1993-07-07,2018-12-31,0,1
15831,2001-12-04,2018-12-31,0,0
6929,2001-06-09,2018-12-31,0,0
2670,2000-07-30,2014-02-07,1,1
7692,1990-09-02,2014-02-21,1,1
6340,1997-04-03,2018-11-07,1,0
16519,2001-09-03,2018-12-31,0,1
15693,1992-07-10,2010-03-15,1,1
589,1998-04-20,2012-03-26,1,0
18857,2004-02-02,2018-12-31,0,0
7691,2004-10-30,2018-12-31,0,0
1038,2007-02-26,2018-12-31,0,0
9105,1983-01-08,2017-08-01,1,1
7131,1992-07-10,2018-12-31,0,0
10565,1997-12-02,2018-12-31,0,0
8739,1995-06-29,2018-12-31,0,0
9385,2002-02-11,2018-12-31,0,0
7192,2004-02-02,2018-12-31,0,1
19312,2001-07-09,2018-12-31,0,1
5048,2005-11-24,2018-12-31,0,0
7161,2003-11-02,2018-12-31,0,0
1790,2004-11-10,2018-12-31,0,1
13095,2008-04-19,2018-12-31,0,0
18056,2003-04-08,2018-12-31,0,0
520,1996-05-10,2013-11-07,1,1
1214,2009-06-12,2018-12-31,0,0
13390,2001-09-05,2018-12-31,0,0
14832,2000-05-31,2018-12-31,0,0
16829,2003-11-05,2018-12-31,0,0
3006,2009-07-02,2018-12-31,0,0
14294,2003-02-25,2018-12-31,0,0
13629,2009-03-20,2018-12-31,0,0
1558,2004-07-07,2018-12-31,0,0
16426,2009-01-20,2018-12-31,0,0
9700,1995-07-21,2016-08-11,1,1
8782,1996-04-18,2014-05-30,1,1
3408,2004-01-21,2018-12-31,0,0
17325,2000-04-27,2010-08-12,1,1
10558,1983-03-05,2018-12-31,0,0
18982,1998-03-02,2018-12-31,0,0
12946,1997-12-16,2018-12-31,0,0
13481,2001-02-11,2018-12-31,0,1
17600,2006-10-27,2018-12-31,0,0
4095,2001-11-21,2018-12-31,0,0
8019,1999-12-22,2018-12-31,0,1
6183,2008-09-28,2018-12-31,0,1
15182,2001-01-04,2018-12-31,0,0
1362,1996-07-03,2018-12-21,1,0
12602,2006-07-30,2018-12-31,0,0
15208,1987-05-17,2018-12-31,0,1
10814,1992-05-25,2018-12-31,0,0
2919,1996-04-22,2018-12-31,0,0
7853,2009-06-03,2018-12-31,0,0
1116,2004-04-14,2015-01-25,1,1
6545,1988-08-17,2018-12-31,0,0
2258,2000-12-02,2018-12-31,0,0
7497,2003-03-14,2018-12-31,0,1
12787,1993-10-11,2018-12-31,0,0
3707,1995-11-02,2018-12-31,0,0
4841,1997-05-10,2014-11-26,1,1
13591,1998-09-23,2018-12-31,0,1
7504,2003-10-25,2018-12-31,0,0
12211,2005-04-26,2018-12-31,0,0
12392,2000-10-15,2010-05-28,1,1
14902,1999-06-21,2018-12-31,0,0
12907,2007-03-01,2018-12-31,0,0
3515,2003-11-09,2018-12-31,0,0
7033,2006-06-29,2018-12-31,0,1
16892,2002-12-15,2018-12-31,0,0
6095,2000-02-09,2014-02-09,1,0
6154,1990-09-02,2018-12-31,0,0
13277,2005-03-22,2018-12-31,0,0
15937,1998-12-15,2018-12-31,0,0
9368,1998-05-20,2018-12-31,0,0
3656,2009-11-08,2018-12-31,0,0
11717,1999-11-19,2018-12-31,0,1
11805,2004-07-28,2018-12-31,0,0
19286,1993-09-28,2018-12-31,0,0
4879,2001-08-06,2017-11-22,1,1
11010,1995-04-16,2018-12-31,0,0
7748,2002-07-12,2018-12-31,0,1
14064,2003-06-26,2018-12-31,0,0
18598,2004-02-08,2018-12-31,0,0
3103,2003-07-12,2018-12-31,0,0
18947,2008-11-27,2018-12-31,0,0
1207,2002-01-23,2018-12-31,0,0
9899,1998-06-26,2018-12-31,0,0
14074,2003-06-18,2018-12-31,0,1
1652,1992-10-27,2018-12-31,0,0
7940,1996-10-04,2018-12-31,0,0
15709,1987-11-09,2018-12-31,0,0
12841,2002-06-14,2018-12-31,0,0
17869,1996-12-20,2015-12-15,1,1
10300,2000-01-07,2018-12-31,0,0
19210,2004-09-16,2018-12-31,0,0
12145,1987-04-20,2018-12-31,0,0
13433,2000-12-28,2013-04-15,1,0
9256,1993-09-09,2018-12-31,0,0
15892,2002-09-07,2018-12-31,0,0
2436,2001-10-18,2018-12-31,0,0
3114,1986-08-05,2011-11-28,1,0
17227,1995-08-13,2017-05-14,1,1
17023,1996-06-16,2018-12-31,0,0
7211,2002-08-13,2018-12-31,0,0
6691,2005-01-26,2018-12-31,0,0
14606,2000-05-29,2018-12-31,0,0
16365,2007-06-17,2018-12-31,0,0
14870,2000-02-24,2018-12-31,0,0
17390,2000-07-03,2018-12-31,0,0
15317,1992-10-27,2014-04-17,1,1
12248,2004-03-04,2018-12-31,0,0
9059,1991-10-20,2018-12-31,0,0
9286,1993-11-01,2018-12-31,0,0
11097,1997-01-06,2018-12-31,0,0
14883,2003-04-21,2018-12-31,0,0
4750,1999-01-14,2018-12-31,0,0
1742,1986-06-23,2013-08-06,1,1
8965,2006-01-02,2018-12-31,0,1
1516,1997-11-19,2018-12-31,0,0
8153,2000-04-23,2018-12-31,0,0
4460,2005-12-03,2018-12-31,0,0
17303,2006-06-26,2018-12-31,0,0
7506,2000-06-10,2015-08-04,1,1
15417,2006-04-05,2018-12-31,0,0
19139,2008-10-17,2018-12-31,0,0
7851,2002-08-23,2018-12-31,0,0
11277,2004-06-01,2018-12-31,0,0
5222,2009-08-09,2018-12-31,0,0
10743,1994-03-29,2018-12-31,0,0
5253,2008-02-01,2018-12-31,0,1
4740,2005-06-08,2018-12-31,0,0
13961,2002-06-15,2018-12-31,0,0
14849,2004-12-17,2018-12-31,0,1
17299,2009-01-25,2018-12-31,0,1
14067,2009-04-15,2018-12-31,0,0
12966,2002-08-01,2018-12-31,0,0
6821,2001-08-04,2018-12-31,0,0
14497,1992-03-12,2018-12-31,0,0
5992,1999-10-13,2018-12-31,0,0
14330,2007-02-05,2018-12-31,0,0
16993,2005-11-25,2012-07-10,1,1
12888,1999-10-26,2018-12-31,0,0
2435,2004-07-14,2018-12-31,0,1
15867,2004-07-04,2018-12-31,0,0
12092,1988-01-29,2015-08-27,1,0
3235,1996-07-02,2018-02-02,1,0
18199,2007-03-17,2018-12-31,0,1
8425,1997-02-09,2018-12-31,0,0
9704,2001-01-26,2018-12-31,0,0
11596,2006-01-05,2018-12-31,0,1
12991,1988-08-29,2018-12-31,0,0
11523,2005-05-02,2018-12-31,0,1
13228,1999-05-13,2018-12-31,0,0
1138,1996-06-08,2010-01-26,1,1
9893,2000-09-03,2018-12-31,0,0
9191,1988-09-20,2018-12-31,0,0
6101,1990-07-08,2015-02-15,1,0
16245,2004-07-02,2018-12-31,0,0
36,2003-12-28,2018-12-31,0,0
7167,1990-08-18,2010-06-25,1,1
19165,1996-10-18,2018-12-31,0,1
9552,2005-05-28,2018-12-31,0,0
3032,1998-09-12,2018-12-31,0,0
15545,2008-07-07,2018-12-31,0,0
5511,2000-03-27,2018-12-31,0,0
9204,2003-10-11,2018-12-31,0,0
14233,2007-10-12,2018-12-31,0,0
9249,1989-06-05,2018-05-13,1,1
8075,2003-07-05,2018-12-31,0,0
10143,1994-10-30,2018-12-31,0,1
10259,1999-07-14,2010-03-06,1,1
11191,2007-04-27,2018-12-31,0,1
18606,2007-01-12,2018-12-31,0,0
18183,2005-09-05,2018-12-31,0,0
15509,2006-11-27,2015-01-09,1,1
1798,1999-08-21,2018-12-31,0,1
19152,1995-02-11,2018-12-31,0,0
13384,2002-09-07,2013-10-02,1,1
14516,2002-02-18,2018-12-31,0,0
16687,1999-02-02,2018-12-31,0,0
808,2000-01-04,2018-12-31,0,0
3747,1996-06-13,2014-08-11,1,1
15658,2008-09-13,2018-12-31,0,0
723,1994-09-10,2018-12-31,0,1
16107,2005-01-12,2018-12-31,0,0
16929,2000-07-24,2018-12-31,0,0
10792,1996-05-06,2018-12-31,0,0
15455,2000-04-20,2018-12-31,0,0
8116,2004-06-02,2014-10-18,1,0
13494,2004-05-30,2014-02-13,1,1
3383,2006-01-08,2018-12-31,0,1
13920,1997-12-29,2015-08-20,1,0
15019,2003-04-27,2018-12-31,0,0
8049,1993-12-13,2018-12-31,0,0
13404,2002-07-06,2018-12-31,0,0
15325,2006-10-24,2018-12-31,0,0
5671,2004-05-16,2011-07-09,1,1
13637,2008-02-19,2018-12-31,0,0
13021,1997-01-27,2018-12-31,0,0
17062,2006-03-05,2018-12-31,0,0
17353,2002-08-11,2018-12-31,0,1
7059,2003-09-05,2018-12-31,0,1
7982,1996-09-09,2018-12-31,0,0
3378,1999-09-27,2018-12-31,0,1
17188,2005-07-21,2018-12-31,0,0
10696,2000-09-05,2018-12-31,0,0
3891,2005-10-03,2018-12-31,0,1
15505,1998-05-24,2018-12-31,0,1
1155,1995-10-29,2018-12-31,0,0
6046,2003-06-12,2015-08-28,1,1
10806,2006-10-31,2018-12-31,0,0
6122,1994-10-10,2017-04-21,1,0
4388,2001-12-11,2018-12-31,0,0
7166,2001-05-08,2012-03-06,1,1
11645,1994-07-04,2018-12-31,0,0
17910,2002-08-20,2018-12-31,0,0
12078,1999-01-07,2018-12-31,0,0
3702,2002-02-10,2018-12-31,0,0
4660,2001-06-13,2018-12-31,0,0
3544,2003-08-27,2018-12-31,0,0
2912,2006-06-23,2018-12-31,0,0
12577,2006-09-19,2018-12-31,0,1
11121,2001-12-19,2018-12-31,0,0
14571,1996-01-10,2018-12-31,0,0
12948,2000-05-05,2018-12-31,0,0
14374,1998-01-02,2018-12-31,0,0
10332,1997-06-01,2018-12-31,0,0
10347,2006-08-02,2018-12-31,0,0
4723,1998-05-31,2018-12-31,0,0
13652,2005-12-16,2018-12-31,0,0
3991,2009-04-17,2018-12-31,0,0
19938,1976-04-26,2013-11-05,1,0
15647,2006-12-19,2018-12-31,0,0
7693,2003-12-03,2018-08-23,1,1
13936,1992-12-01,2018-12-31,0,1
13452,1993-11-19,2013-07-29,1,0
12884,2000-12-06,2018-12-31,0,1
19915,2008-05-27,2018-12-31,0,0
1865,1989-09-22,2018-12-31,0,0
6811,2000-06-03,2018-12-31,0,0
16284,2003-06-18,2018-12-31,0,0
9999,2004-07-30,2018-12-31,0,0
9456,1997-09-06,2018-12-31,0,0
15169,1998-03-26,2018-12-31,0,1
9460,2005-07-29,2018-12-31,0,0
11793,2008-08-20,2018-12-31,0,0
4076,1993-06-08,2018-12-31,0,0
16305,2005-06-29,2018-12-31,0,0
15910,2001-06-02,2018-12-31,0,0
9785,2007-07-03,2018-12-31,0,0
9944,2001-08-24,2018-12-31,0,0
7243,2008-04-02,2018-12-31,0,0
13278,1999-11-24,2018-12-31,0,0
19417,2000-02-13,2013-07-23,1,0
12054,2006-07-10,2018-12-31,0,0
5091,1996-08-08,2011-03-14,1,1
9941,2005-01-23,2018-12-31,0,0
5614,2002-06-11,2018-12-31,0,0
18614,1999-03-26,2018-12-31,0,1
14610,2002-09-10,2015-05-02,1,1
14784,2006-11-01,2018-12-31,0,0
8069,1996-07-28,2018-12-31,0,0
6916,2006-07-04,2018-12-31,0,0
5642,1996-03-20,2018-12-31,0,0
12810,2004-12-15,2018-12-31,0,0
5674,1997-07-09,2013-12-10,1,0
6212,2004-03-04,2010-09-04,1,1
14344,2004-11-15,2018-12-31,0,0
6722,2006-02-22,2018-12-31,0,0
17044,1998-01-01,2018-12-31,0,0
595,2001-10-14,2018-12-31,0,1
12914,2002-05-27,2018-12-31,0,0
6996,2005-05-29,2018-12-31,0,1
8072,1999-05-30,2018-12-31,0,1
2712,2004-01-20,2018-12-31,0,0
6695,1992-02-12,2018-12-31,0,1
3903,1995-06-05,2014-09-08,1,1
7209,2008-11-21,2018-12-31,0,0
14875,2008-03-05,2018-12-31,0,1
14037,2003-03-01,2018-12-31,0,0
17039,2003-07-07,2018-12-31,0,0
10133,1992-09-04,2011-08-31,1,1
4914,1997-09-18,2014-12-05,1,1
11720,2007-11-30,2018-12-31,0,0
16921,2004-08-07,2010-12-24,1,1
3996,1992-09-12,2013-01-30,1,1
15796,1997-10-12,2018-12-31,0,0
12253,1999-01-27,2018-12-31,0,0
7600,1998-10-27,2018-12-31,0,0
3314,2002-09-17,2018-12-31,0,0
11828,1993-04-27,2018-12-31,0,0
954,2000-08-16,2016-02-01,1,0
3870,2007-09-02,2018-12-31,0,0
19894,1998-10-27,2018-12-31,0,0
10975,1993-07-19,2013-01-31,1,1
13916,2006-05-30,2018-12-31,0,1
9659,1988-12-25,2018-12-31,0,0
3435,2005-11-17,2018-12-31,0,0
12172,2000-04-21,2018-12-31,0,1
7335,2007-03-25,2018-12-31,0,0
14820,1999-04-22,2018-12-31,0,0
5902,1998-12-19,2018-09-28,1,1
4390,2000-08-01,2018-12-31,0,0
11438,2007-12-12,2018-12-31,0,0
9203,1992-09-10,2013-08-26,1,1
12931,2007-06-21,2018-12-31,0,0
3726,1996-08-11,2018-12-31,0,0
14395,2001-11-30,2018-12-31,0,0
13393,1999-05-06,2018-06-24,1,0
15178,2005-01-31,2018-12-31,0,0
8256,1992-11-08,2018-12-31,0,0
439,1995-04-10,2018-12-31,0,0
6709,2004-08-23,2018-12-31,0,1
956,2009-11-27,2018-12-31,0,1
10311,2001-08-08,2014-08-08,1,0
17172,2000-10-18,2018-12-31,0,0
3354,1991-06-26,2011-05-05,1,1
12454,2003-01-26,2018-12-31,0,0
15845,1986-01-21,2012-09-27,1,0
13110,1996-05-26,2018-12-31,0,0
17091,1997-10-23,2018-12-31,0,1
16781,1988-12-25,2018-01-11,1,1
17943,2002-04-08,2013-03-11,1,0
16831,2002-02-18,2017-03-06,1,1
12674,2007-09-21,2018-12-31,0,1
4799,1999-11-02,2018-12-31,0,0
17841,2001-03-09,2018-12-31,0,0
2114,1997-05-12,2018-12-31,0,0
6304,2007-07-23,2018-12-31,0,0
6418,2007-02-26,2018-12-31,0,0
1065,2003-09-16,2018-12-31,0,0
1676,1997-08-16,2014-08-20,1,1
13231,2009-01-06,2018-12-31,0,0
3452,1996-03-14,2018-12-31,0,0
622,1988-07-30,2014-07-14,1,1
15501,2005-05-07,2018-12-31,0,0
17037,2002-10-22,2018-12-31,0,0
10374,2006-08-27,2018-12-31,0,0
4437,2003-01-10,2017-04-25,1,1
17660,2001-05-03,2018-12-31,0,0
9599,2002-03-07,2018-12-31,0,0
13575,2001-05-13,2018-12-31,0,0
2103,1996-05-23,2015-08-20,1,0
4205,2000-01-25,2018-12-31,0,0
2078,2007-07-21,2018-12-31,0,0
18482,2009-04-16,2018-12-31,0,1
17048,2007-12-27,2018-12-31,0,0
18263,2005-03-05,2018-12-31,0,0
1690,1997-03-18,2018-12-31,0,0
12348,2007-09-14,2018-12-31,0,0
15715,2005-03-04,2018-12-31,0,1
8590,2007-06-06,2017-01-01,1,1
6612,2004-05-07,2015-07-08,1,0
16843,2002-12-30,2018-12-31,0,0
12467,1999-05-18,2018-12-31,0,0
10583,2008-01-19,2018-12-31,0,1
12158,2000-02-19,2016-02-21,1,1
1534,2007-03-20,2018-12-31,0,1
2520,1993-11-16,2011-11-03,1,1
7595,2002-09-27,2018-12-31,0,0
14480,2002-09-29,2018-12-31,0,0
4888,2000-08-30,2017-05-18,1,1
10856,1991-06-21,2017-01-20,1,1
5431,2006-10-14,2018-12-31,0,0
4529,1998-04-25,2018-12-31,0,1
9742,2004-04-30,2018-12-31,0,0
18152,2009-03-26,2018-12-31,0,1
13429,2007-06-20,2018-12-31,0,0
4819,1998-07-08,2011-09-09,1,0
12864,1992-05-31,2018-12-31,0,0
762,2001-02-09,2018-12-31,0,0
299,1998-08-18,2018-12-31,0,0
18223,2001-04-19,2017-10-30,1,1
2039,2003-12-16,2018-12-31,0,0
3990,2001-10-02,2017-01-28,1,0
11451,1996-10-25,2011-09-11,1,1
18527,2006-08-03,2018-12-31,0,0
7420,2006-12-27,2018-12-31,0,0
18225,2008-05-02,2018-12-31,0,0
4077,2004-06-22,2018-12-31,0,0
15556,2002-09-09,2018-12-31,0,1
6353,2003-08-25,2018-12-31,0,0
9731,2007-07-22,2018-10-21,1,1
6715,2000-12-23,2018-12-31,0,1
18252,1999-08-17,2018-12-31,0,0
18794,1997-04-11,2018-12-31,0,0
5006,2003-05-26,2018-12-31,0,1
13773,2005-12-09,2018-12-31,0,0
9712,1992-10-31,2018-05-18,1,0
8219,2002-07-30,2018-12-31,0,0
793,2008-11-02,2018-12-31,0,0
8257,2000-02-05,2014-05-03,1,0
13918,1997-02-12,2018-12-31,0,0
16604,2008-05-16,2018-12-31,0,0
15106,1999-02-20,2018-12-31,0,0
10404,1992-11-13,2012-03-14,1,1
3162,1994-08-26,2016-12-07,1,1
7586,2003-11-19,2018-12-31,0,0
17225,2001-11-11,2018-12-31,0,0
1171,1993-03-05,2018-12-31,0,0
14004,1991-05-05,2018-12-31,0,0
14444,1996-01-02,2018-12-31,0,0
18532,1992-10-28,2018-12-31,0,0
11306,1989-10-09,2011-10-15,1,1
19501,2008-01-26,2018-12-31,0,0
12178,2007-02-04,2018-12-31,0,0
171,2008-05-08,2014-05-19,1,1
5386,1999-09-19,2016-12-21,1,0
16375,1996-12-30,2018-12-31,0,0
1890,1995-02-10,2018-12-31,0,1
105,2006-07-27,2018-12-31,0,0
16307,2007-08-21,2018-12-31,0,0
11363,2005-11-24,2018-12-31,0,0
5060,2000-02-01,2018-12-31,0,0
1269,2005-12-21,2018-12-31,0,0
14223,2001-05-10,2018-12-31,0,0
1942,2000-01-22,2018-12-31,0,0
5298,1991-03-30,2012-07-21,1,0
18429,2004-12-25,2018-12-31,0,1
9217,1993-07-21,2018-12-31,0,0
8475,1996-06-06,2015-08-24,1,0
14927,2009-09-15,2018-12-31,0,0
9936,1998-02-13,2015-12-22,1,0
15971,2009-02-18,2018-12-31,0,0
16381,1995-05-22,2013-01-06,1,1
11172,2007-11-14,2018-12-31,0,0
9827,2004-02-14,2018-12-31,0,0
11942,2001-01-08,2018-12-31,0,0
13219,2004-09-03,2011-07-11,1,1
19789,2002-06-10,2014-05-01,1,0
6573,2007-03-20,2018-12-31,0,1
14391,1995-02-07,2018-12-31,0,1
13988,2001-02-10,2016-10-20,1,1
15605,2006-01-10,2018-12-31,0,0
13660,1985-01-23,2018-12-31,0,0
14378,2005-01-02,2018-12-31,0,0
9588,2004-09-25,2018-12-31,0,0
41,1997-04-22,2018-12-31,0,0
9469,2001-11-19,2018-12-31,0,0
3392,2002-07-30,2018-12-31,0,0
17284,2003-03-21,2018-12-31,0,0
3819,2008-12-09,2018-12-31,0,1
7448,2003-03-29,2018-12-31,0,0
17061,2004-10-04,2018-12-31,0,0
2714,2000-08-28,2018-12-31,0,0
8192,1999-10-02,2018-12-31,0,0
14296,1996-09-21,2018-12-31,0,0
2621,2006-12-09,2018-12-31,0,1
1701,2001-01-17,2017-03-24,1,1
6817,1996-07-17,2018-12-31,0,0
17495,2006-05-18,2018-12-31,0,1
14413,1994-06-06,2014-01-06,1,1
18413,2001-06-18,2018-12-31,0,0
12846,2008-10-05,2018-12-31,0,0
1287,1999-01-06,2016-10-27,1,1
2771,1994-01-08,2018-12-31,0,0
7989,1998-05-17,2018-12-31,0,0
14712,1995-11-06,2018-12-31,0,0
11545,2008-05-04,2018-12-31,0,1
7401,2002-10-20,2018-12-31,0,0
9414,2005-12-03,2018-12-31,0,1
13897,2003-07-01,2018-12-31,0,0
8131,2003-11-05,2018-12-31,0,0
10063,2000-08-03,2018-12-31,0,0
2873,2005-04-05,2018-12-31,0,0
16915,1994-10-24,2018-12-31,0,0
4452,2006-10-01,2018-12-31,0,0
12308,2005-12-16,2018-12-31,0,0
2285,1999-08-15,2018-12-31,0,0
8817,1997-12-01,2018-12-31,0,0
9080,2005-10-11,2018-12-31,0,0
10172,1999-04-12,2016-02-24,1,0
13416,2003-04-01,2018-12-31,0,0
11318,2004-06-19,2018-12-31,0,0
3356,2003-05-07,2018-12-31,0,0
5568,2007-09-07,2018-12-31,0,0
12062,2003-12-24,2018-12-31,0,1
16545,2003-08-17,2018-12-31,0,0
13469,2005-07-18,2018-12-31,0,0
13721,1993-04-28,2018-12-31,0,0
15641,1996-07-17,2018-12-31,0,1
2003,1999-01-05,2017-10-12,1,1
1504,2002-05-14,2018-12-31,0,1
85,2008-12-14,2018-12-31,0,1
